"","caseid"
"1073","       61 35  4"
"1074","       61 37  2"
"1075","       61 39  3"
"1076","       61 41  3"
"1077","       61 41  5"
"1078","       61 43  2"
"1079","       61 45  2"
"1080","       61 45  4"
"1081","       61 49  2"
"1082","       61 51  2"
"1083","       61 51  3"
"1084","       61 53  2"
"1085","       61 53  5"
"1086","       61 53  6"
"1087","       61 53  7"
"1088","       61 60  1"
"1089","       61 60  2"
"1090","       61 60  3"
"1091","       61 62  2"
"1092","       61 64  2"
"1093","       61 64  3"
"1094","       61 66  2"
"1095","       61 68  2"
"1096","       61 68  3"
"1097","       61 70  2"
"1098","       61 70  3"
"1099","       61 74  2"
"1100","       61 74  4"
"1101","       61 80  2"
"1102","       61 80  3"
"1103","       61 80  4"
"1104","       61 83  2"
"1105","       61 83  3"
"1106","       62  1  2"
"1107","       62  1  3"
"1108","       62  3  2"
"1109","       62  3  3"
"1110","       62  3  4"
"1111","       62  5  2"
"1112","       62  8  1"
"1113","       62 10  1"
"1114","       62 10  3"
"1115","       62 12  2"
"1116","       62 13  4"
"1117","       62 15  2"
"1118","       62 17  4"
"1119","       62 19  1"
"1120","       62 20  2"
"1121","       62 22  7"
"1122","       62 27  2"
"1123","       62 29  3"
"1124","       62 29  4"
"1125","       62 31  2"
"1126","       62 36  2"
"1127","       62 36  3"
"1128","       62 38  2"
"1129","       62 38  3"
"1130","       62 38  6"
"1131","       62 38  7"
"1132","       62 38  8"
"1133","       62 40  2"
"1134","       62 45  2"
"1135","       62 47  2"
"1136","       62 52  2"
"1137","       62 52  5"
"1138","       62 54  2"
"1139","       62 55  2"
"1140","       62 55  3"
"1141","       62 57  2"
"1142","       62 59  2"
"1143","       62 59  3"
"1144","       62 59  4"
"1145","       62 61  1"
"1146","       62 61  3"
"1147","       62 62  2"
"1148","       62 64  4"
"1149","       62 66  2"
"1150","       62 69  2"
"1151","       63  9  1"
"1152","       63 14  2"
"1153","       63 20  1"
"1154","       63 20  3"
"1155","       63 25  2"
"1156","       63 31  3"
"1157","       63 36  2"
"1158","       63 42  2"
"1159","       63 42  3"
"1160","       63 47  3"
"1161","       63 47  7"
"1162","       63 58  2"
"1163","       63 58  3"
"1164","       63 58  4"
"1165","       63 58  5"
"1166","       63 69  2"
"1167","       63 69  3"
"1168","       63 69  4"
"1169","       63 69  5"
"1170","       63 69  8"
"1171","       63 75  2"
"1172","       63 75  7"
"1173","       63 80  2"
"1174","       63 85  3"
"1175","       63 91  5"
"1176","       64  2  2"
"1177","       64  7  1"
"1178","       64  7  4"
"1179","       64 19  2"
"1180","       64 23  2"
"1181","       64 27  2"
"1182","       64 27  3"
"1183","       64 39  4"
"1184","       64 43  2"
"1185","       64 55  2"
"1186","       64 59  2"
"1187","       64 59  3"
"1188","       66  5  3"
"1189","       66 12  2"
"1190","       66 12  3"
"1191","       66 19  2"
"1192","       66 19  3"
"1193","       66 27  3"
"1194","       66 41  4"
"1195","       66 48  3"
"1196","       66 70  1"
"1197","       66 77  2"
"1198","       67 12  1"
"1199","       67 20  2"
"1200","       67 34  2"
"1201","       67 34  3"
"1202","       67 42  2"
"1203","       67 42  5"
"1204","       67 49  2"
"1205","       67 56  2"
"1206","       67 64  2"
"1207","       67 71  2"
"1208","       67 78  2"
"1209","       67 78  3"
"1210","       67 78  4"
"1211","       67 86  1"
"1212","       67 93  2"
"1213","       67100  1"
"1214","       67107  2"
"1215","       67115  2"
"1216","       67115  3"
"1217","       67122  2"
"1218","       67129  3"
"1219","       67129  5"
"1220","       67137  2"
"1221","       68  6  2"
"1222","       68 13  2"
"1223","       68 13  3"
"1224","       68 13  4"
