variable,label
ch_fev_care__Yes,Advice or treatment sought for fever symptoms (Yes)
ch_fev_care_day__Yes,Advice or treatment sought for fever symptoms on the same or next day (Yes)
nt_ch_micro_mp__Yes,Children age 6-23 mos given multiple micronutrient powder (Yes)
nt_ch_micro_iron__Yes,Children age 6-59 mos given iron supplements (Yes)
nt_ch_micro_vas__Yes,Children age 6-59 mos given Vit. A supplements (Yes)
nt_bf_ever__Yes,Ever breastfed - last-born in the past 2 years (Yes)
nt_bf_start_1hr__Yes,Started breastfeeding within one hour of birth - last-born in the past 2 years (Yes)
nt_bf_start_1day__Yes,Started breastfeeding within one day of birth - last-born in the past 2 years (Yes)
nt_bf_prelac__Yes,Received a prelacteal feed - last-born in the past 2 years ever breast fed (with birth record) - Not applicable (m55 missing) (Yes)
nt_bf_prelac_nobirthrecord__Yes,Received a prelacteal feed - last-born in the past 2 years ever breast fed (without birth record data) (Yes)
nt_bottle__Yes,Drank from a bottle with a nipple yesterday - under 2 years (Yes)
nt_bf_curr__Yes,Currently breastfeeding - last-born under 2 years (Yes)
nt_ebf__Yes,Exclusively breastfed - last-born under 6 months (Yes)
nt_predo_bf__Yes,Predominantly breastfed - last-born under 6 months (Yes)
nt_ageapp_bf__Yes,Age-appropriately breastfed - last-born under 2 years (Yes)
nt_food_bf__Yes,"Introduced to solid, semi-solid, or soft foods - last-born 6-8 months (Yes)"
nt_bf_cont_1yr__Yes,Continuing breastfeeding at 1 year (12-15 months) - last-born under 2 years (Yes)
nt_bf_cont_2yr__Yes,Continuing breastfeeding at 2 year (20-23 months) - last-born under 2 years (Yes)
nt_formula__Yes,Child given infant formula in day/night before survey - last-born under 2 years (Yes)
nt_milk__Yes,Child given other milk in day/night before survey- last-born under 2 years (Yes)
nt_liquids__Yes,Child given other liquids in day/night before survey- last-born under 2 years (Yes)
nt_bbyfood__Yes,Child given fortified baby food in day/night before survey- last-born under 2 years (Yes)
nt_grains__Yes,Child given grains in day/night before survey- last-born under 2 years (Yes)
nt_vita__Yes,Child given vitamin A rich food in day/night before survey- last-born under 2 years (Yes)
nt_frtveg__Yes,Child given other fruits or vegetables in day/night before survey- last-born under 2 years (Yes)
nt_root__Yes,Child given roots or tubers in day/night before survey- last-born under 2 years (Yes)
nt_nuts__Yes,Child given legumes or nuts in day/night before survey- last-born under 2 years (Yes)
nt_meatfish__Yes,"Child given meat, fish, shellfish, or poultry in day/night before survey- last-born under 2 years (Yes)"
nt_eggs__Yes,Child given eggs in day/night before survey- last-born under 2 years (Yes)
nt_dairy__Yes,"Child given cheese, yogurt, or other milk products in day/night before survey- last-born under 2 years (Yes)"
nt_solids__Yes,Child given any solid or semisolid food in day/night before survey- last-born under 2 years (Yes)
nt_fed_milk__Yes,Child given milk or milk products- last-born 6-23 months (Yes)
